year,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Avg,Market
2013/14,4.78,4.20,4.10,4.13,4.13,4.33,4.64,4.98,4.72,4.37,3.74,3.59,4.31,Springfield
2014/15,3.16,3.09,3.45,3.75,3.67,3.65,3.66,3.59,3.49,3.52,3.85,3.51,3.53,Springfield
2015/16,3.55,3.67,3.62,3.62,3.55,3.56,3.54,3.61,3.74,3.91,3.28,3.09,3.56,Springfield
2013/14,5.27,5.13,5.06,5.06,5.03,5.32,5.65,5.65,5.51,5.14,4.64,4.48,5.16,Gulfports
2014/15,4.14,4.15,4.54,4.55,4.44,4.41,4.43,4.38,4.23,4.24,4.56,4.14,4.35,Gulfports
2015/16,4.22,4.36,4.22,4.17,4.09,4.06,4.05,4.17,4.30,4.62,4.11,3.82,4.18,Gulfports
2013/14,4.99,5.03,5.13,4.66,4.44,4.76,5.78,5.28,5.20,4.99,4.63,4.03,4.91,StLouis
2014/15,3.56,3.14,3.78,4.06,3.94,3.98,3.99,3.93,3.83,3.80,4.14,3.72,3.82,StLouis
2015/16,3.61,3.79,3.84,3.84,3.78,3.76,3.77,3.88,3.99,4.23,3.70,3.41,3.80,StLouis
2013/14,5.05,4.30,4.14,4.22,4.20,4.37,4.61,4.90,4.79,4.47,3.64,3.53,4.35,Omaha
2014/15,3.23,3.05,3.45,3.79,3.70,3.75,3.82,3.72,3.60,3.64,3.90,3.61,3.60,Omaha
2015/16,3.56,3.56,3.52,3.59,3.54,3.53,3.48,3.55,3.64,3.81,3.18,2.99,3.49,Omaha
2013/14,5.04,4.37,4.26,4.29,4.28,4.47,4.79,5.03,4.94,4.56,3.87,3.78,4.47,Chicago
2014/15,3.60,3.47,3.65,3.90,3.87,3.85,3.86,3.81,3.66,3.68,4.07,3.75,3.76,Chicago
2015/16,3.84,3.90,3.79,3.78,3.73,3.71,3.71,3.70,3.91,4.10,3.50,3.35,3.75,Chicago
2013/14,5.09,4.31,4.24,4.28,4.33,4.50,4.80,4.98,4.90,4.55,3.91,3.65,4.46,Kansas
2014/15,3.23,2.97,3.36,3.77,3.81,3.77,3.83,3.75,3.71,3.70,4.03,3.68,3.63,Kansas
2015/16,3.63,3.84,3.76,3.74,3.74,3.78,3.69,3.61,3.85,4.01,3.34,3.08,3.67,Kansas
2013/14,4.84,4.10,4.03,4.24,4.15,4.35,4.65,4.84,4.70,4.34,3.70,3.54,4.29,Toledo
2014/15,3.34,3.30,3.51,3.80,3.73,3.73,3.78,3.70,3.57,3.63,4.09,3.77,3.66,Toledo
2015/16,3.74,3.83,3.81,3.80,3.72,3.73,3.73,3.78,3.67,4.09,3.50,3.28,3.72,Toledo
2013/14,4.44,4.35,4.36,4.52,4.55,4.88,5.10,5.26,5.13,4.76,4.06,3.75,4.59,Memphis
2014/15,3.25,3.29,3.89,4.12,4.04,4.06,4.08,3.98,3.82,3.82,4.17,3.60,3.84,Memphis
2015/16,3.61,3.72,3.84,3.82,3.70,3.67,3.73,3.78,3.96,4.14,3.71,3.39,3.75,Memphis
2013/14,4.86,4.18,4.14,4.12,4.08,4.26,4.46,4.73,4.64,4.28,3.58,3.36,4.22,Minneapolis
2014/15,3.10,3.05,3.30,3.59,3.57,3.58,3.58,3.58,3.42,3.37,3.71,3.37,3.44,Minneapolis
2015/16,3.29,3.33,3.34,3.27,3.18,3.08,3.26,3.47,3.61,3.77,3.17,2.89,3.31,Minneapolis
