0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,12,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,33,6
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,2,8,1,17,5,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,42,5,5,1
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1,15,8,5,2,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,2,1,1,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,3,17,14,3,1,1,0,0
0,0,0,0,0,1,11,0,0,0,0,0,0,8,1,0,36,2,4,4,3,0,0,1
0,0,0,0,0,0,6,5,1,1,1,1,0,19,13,27,1,2,2,0,6,0,0,0
4,2,0,0,0,0,5,1,0,8,1,4,0,33,0,16,0,0,0,0,0,13,0,0
8,2,0,1,2,3,1,9,1,8,6,5,19,0,0,29,0,0,0,4,0,0,13,0
6,0,1,1,0,7,9,17,2,23,3,31,43,0,3,29,0,0,0,2,0,0,11,0
5,0,3,1,3,5,3,10,6,26,16,31,25,2,2,23,0,0,8,0,5,0,9,4
1,4,0,0,1,6,1,9,57,3,0,0,32,2,2,34,3,7,1,9,0,1,0,0
6,0,0,0,1,4,0,1,48,0,2,1,24,1,1,44,3,15,0,6,0,9,0,0
0,1,0,0,0,7,0,0,46,0,0,1,19,1,6,43,2,5,0,7,0,13,0,0
0,4,0,0,6,9,0,0,40,2,0,3,18,0,0,34,3,2,0,5,0,17,1,0
0,0,0,0,0,0,0,0,39,0,1,1,22,0,1,25,3,3,0,16,0,14,1,2
0,0,0,0,0,0,0,0,36,0,0,2,17,2,6,18,0,10,0,2,0,15,0,0
0,0,0,0,0,0,0,0,35,1,1,2,20,1,0,19,0,10,0,1,0,0,10,0
0,0,0,0,0,0,0,0,27,0,7,0,19,0,1,0,20,6,3,0,0,0,13,0
0,0,0,0,0,0,0,0,37,0,5,0,28,0,0,0,22,0,2,0,0,0,16,0
0,0,0,0,0,0,0,0,42,2,0,24,3,0,1,17,8,4,0,0,0,0,18,0
